Loan_ID,Target
0060OKE,0.5370526962115181
00LTNOZ,0.1334538303187051
00YK1YB,0.03321112590322529
0131KT1,0.08418144557914332
01ML49H,0.13346383091560496
021XFMN,0.32463058427952096
02597PG,0.10603522187618626
029308S,0.5305753652223082
02D3065,0.7225023763996568
032AO7U,0.2955617852109873
03OHQU8,0.07888797034407213
047X90Q,0.15308712836121627
04QVDW1,0.15171531616267767
0590ETW,0.01625284863426598
05CJULG,0.06062055397349679
05HTO57,0.8437315828298895
061L8U0,0.17029151736152526
06761XF,0.1902279255968991
06A6QF8,0.1393553853068327
06E9WOK,0.7784222100407505
06EWW9C,0.05843714388054358
06HO5HG,0.0931237756803795
06TSTEE,0.06696545609886223
06WBEV1,0.05014897194931657
07FO5JR,0.09707667920280452
07MVRB0,0.10140430459992025
07Q3CVI,0.05915834052190575
081HCKR,0.11452467119632828
08Y4V4I,0.12167081906178026
09400OB,0.5344676010905113
09DTDCK,0.0682521295362731
09Q1HI9,0.026692083030400403
0A5Q9IZ,0.2937044440585048
0AJZEP9,0.3410889217645642
0APAR9X,0.5295373303507617
0BBSMMW,0.06432053499774658
0BG7JY9,0.08900376584596373
0BGPN0F,0.1215970500881228
0BH25KW,0.08863780901024987
0BVRYZR,0.8773041569337698
0BZIZC5,0.604809285019323
0C5RV6G,0.09758413592965612
0CL574J,0.5779793530500368
0CPW582,0.29684116308855796
0DD04W2,0.05522883373592248
0DTI7N9,0.1823498549597281
0DV46VB,0.28783508122418766
0DVG4LA,0.786241599089138
0DY3WI6,0.13791336649750083
0E1TVZ5,0.24587956087645668
0E7CWX3,0.29154876547633285
0EOGRJ2,0.5641139124252481
0EXPAKT,0.09979343634530288
0FIBBE7,0.06489656236942379
0FOH0FL,0.6109091515207712
0GTBMSQ,0.4904597624717886
0GTXR5K,0.8953520006682834
0H30JMW,0.18551383318841802
0IEIDQU,0.06575657667077497
0IJAU1R,0.04516502530333572
0IOMP84,0.07450347675286909
0J25BE4,0.14192117128517928
0J42AUT,0.08510810382733822
0JNAZGM,0.1193223584791053
0JR516T,0.1501571564378941
0JUQHCN,0.39884033933993707
0K39RUL,0.19097124793134385
0K5SP0F,0.8233002591260472
0K8L8YX,0.05365607181844676
0KJ3B3Y,0.397982719455232
0KK46UG,0.08335054522136882
0KTO2U6,0.32344061942771385
0LDJ0AY,0.06840099680446447
0LMHFRX,0.16981680186301887
0LO8111,0.10267233015539654
0MV20CU,0.09748543869347398
0MZQVRS,0.1855484556690397
0N21X75,0.49320625044333055
0N8L90Z,0.7581494729886036
0ND6DQD,0.13690359388909784
0NKECGU,0.11819311721961276
0NKGNVD,0.04874646241366111
0OQH7AL,0.5711295040526472
0P5U027,0.08840392505222226
0PNT6B9,0.5711359537884617
0Q855NE,0.057761348462379083
0QCQ1NC,0.3247957714008532
0QR3SP7,0.08799306490274672
0QWQFE9,0.30857872216965465
0R1ZS9I,0.8424191855490324
0R5NMOC,0.09227359176125884
0RHUYX7,0.5095309757015544
0RPJH0Y,0.1465036218328835
0RZV4YO,0.024784586826950228
0SFN5TL,0.08383324426508904
0SQLFZ8,0.6596148595092366
0ST2DNT,0.409496798914532
0SY8EZ3,0.07307979474799547
0T5SKNB,0.49942287211483416
0T83NP7,0.08525920354088756
0TZ6TOM,0.09401984130907101
0UFK4U5,0.13461379518862468
0UOCSF6,0.021562983385741034
0UZ4I7V,0.7730042047995218
0VL52EI,0.8082480616537828
0VLN3MF,0.03635146171892615
0WKJSVK,0.8200562584737188
0X230WP,0.04867840723119342
0YF9CZL,0.18916006454097894
0YUI0VY,0.17232930690107318
0Z127KR,0.6185087674644241
0Z8JIA9,0.3895079331027471
0ZHS3HN,0.10274499759871852
0ZN9VKW,0.05441350008046191
0ZSXKN4,0.07892485634168678
0ZVURKF,0.8930376578795336
1011N2Q,0.897657386722823
103X4P8,0.5479021684554807
107ATXR,0.09164608414348657
10B94S1,0.09004439908024488
10R81BX,0.17459646208511348
119X3QB,0.07866984091346138
11CY1WS,0.09779842024128345
11L46EK,0.11009821255721966
11OGL1J,0.049702708546232
11OWUCW,0.26989723722316694
11QI1H5,0.0416174991599951
12AIU1U,0.029041908825302068
12CGC2R,0.7500163907048063
12IVGSY,0.11703123435012425
130ZHIP,0.803916547893336
145IZBE,0.7969633731394533
14G1GFA,0.24711667809488114
14ONR5Q,0.19073301673839477
154XVEZ,0.13452339318637607
159WLX8,0.3017346959912113
15JOZ11,0.07153740481265083
1619MCI,0.42889339619680455
16GIZSK,0.3929617749424449
173HOQR,0.2222225028449602
17NBDP8,0.7184956087285266
17X7GVE,0.30839354775040284
18OOT2F,0.7034457443889539
1902SYT,0.7942610533150327
19CA4MK,0.7686872814284278
19D073A,0.2559407002750015
19K1MSQ,0.05865349321442337
19MLYI8,0.31321325643149467
1A2PZZE,0.5968361380361009
1A58YO5,0.29483264962073463
1AISHIL,0.22472253422438565
1AW5GNM,0.619042746589338
1BKLM5X,0.17815756473078692
1BXJZ03,0.06914978916628153
1C5WKPL,0.18505729473280086
1D1YIXC,0.05989883772230739
1D6KMTT,0.0417276110098561
1DRVFIG,0.18288860585805555
1DTHMJH,0.09830369456114937
1EASBFD,0.08459289518014952
1EBOHUU,0.7597345251087584
1EDA3NS,0.743547425604554
1ENJ5OD,0.4614124879876629
1ESNCNB,0.07694030415492771
1FT1F84,0.17821707599791167
1FUSI3N,0.016754280591728968
1GI98AZ,0.23100235321005363
1GPENIS,0.7950131779962559
1GSM5E8,0.6160032801047954
1GXN6Z9,0.7565622797157777
1GXZID3,0.3146528577745432
1H027MB,0.06543043463728934
1HA5T0U,0.08489997651925754
1HI3UVT,0.1321127929994703
1HKQ2H6,0.016034432935691515
1HZM0QS,0.8991577658225224
1IJ1KWN,0.8597368769365339
1IPKXTI,0.04242331978508331
1IR796O,0.039508897689580456
1J0SE9S,0.7267893288747433
1J59SQJ,0.08399705497910254
1J9S25L,0.02943692904663785
1JI846I,0.8085901813245504
1K64WRU,0.0827409796593088
1KO6S29,0.6017772606809273
1KR3PB5,0.6357977092159821
1KZKOVU,0.4328121452421392
1LH0GHS,0.10169202420752703
1LMKRR1,0.009784301944749845
1M1TW02,0.22067380922855745
1M2PHOZ,0.8459171109755077
1M3RCYU,0.17339896098760665
1M79BQL,0.2774449543289765
1MWAC4H,0.8267551014997141
1N1DAZS,0.12291276295102023
1NSLJP9,0.0909200002085131
1NT7ROR,0.03159090818215349
1NUQ92D,0.053495360590668804
1O95YDV,0.16283796172545226
1OIOQU6,0.6497433508573158
1OJCOQI,0.6123425320843843
1OKFL12,0.16900203093318764
1OPJ0M9,0.6679264361447798
1OTC1KA,0.06428062384336031
1OVQDYB,0.022961327246956625
1OZ4R6Z,0.20077711233943013
1P2MSS2,0.09951087005928422
1P5MZZU,0.1906737776846108
1PJ7HM5,0.18115664713559404
1PL792D,0.7354087085978711
1Q1WXL4,0.10198342860811113
1Q2NI0A,0.11103117047321465
1QIESRT,0.5847037697797034
1QSDXK7,0.12107914393129307
1RO8YQT,0.03878070209546461
1RY5I5T,0.19504124603588618
1SEL461,0.3121336205499079
1SJ08UW,0.27171330809778227
1T2N8HS,0.5778710178404266
1T5NDWS,0.26974864723045106
1T9RCDB,0.0847090433175411
1TBXFSW,0.7909209453267544
1U1ZC5H,0.04618097898086286
1UEHOMC,0.14536375685404257
